id;link;nama_usaha;kategori;alamat;no_telp;jenis_platform;maps
418;https://www.tokopedia.com/sefti-tapis;Sefti tapis;Fashion Wanita;Bandar Lampung;;Tokopedia;
419;https://www.tokopedia.com/frenita-tapis-lampung;Frenita Tapis Lampung_NEW;Fashion Wanita;Kab. Pringsewu;;Tokopedia;
420;https://www.tokopedia.com/sefti-tapis;Sefti tapis;Fashion Muslim;Bandar Lampung;;Tokopedia;
421;https://www.tokopedia.com/sellacraft;Sellacraft_NEW;Fashion Wanita;Bandar Lampung;;Tokopedia;
422;https://www.tokopedia.com/seftia-sahwan-tapis-lampung;Seftia sahwan tapis lampung;Fashion Wanita;Bandar Lampung;;Tokopedia;
423;https://www.tokopedia.com/nitapis-lampung;Nitapis lampung;Fashion Muslim;Bandar Lampung;;Tokopedia;
424;https://www.tokopedia.com/snailycraft;Maharani tapis lampung;Fashion Wanita;Bandar Lampung;;Tokopedia;
425;https://www.tokopedia.com/supplier-tapis;Supplier tapis;Fashion Wanita;Kab. Pesawaran;;Tokopedia;
426;https://www.tokopedia.com/sella-tapis;Sella Tapis;Fashion Wanita;Bandar Lampung;;Tokopedia;
427;https://www.tokopedia.com/sefti-tapis;Sefti tapis;Fashion Wanita;Bandar Lampung;;Tokopedia;
428;https://www.tokopedia.com/snailycraft;Maharani tapis lampung;Fashion Wanita;Bandar Lampung;;Tokopedia;
429;https://www.tokopedia.com/sefti-tapis;Sefti tapis;Fashion Wanita;Bandar Lampung;;Tokopedia;
430;https://www.tokopedia.com/seftia-sahwan-tapis-lampung;Seftia sahwan tapis lampung;Fashion Wanita;Bandar Lampung;;Tokopedia;
431;https://www.tokopedia.com/snailycraft;Maharani tapis lampung;Fashion Wanita;Bandar Lampung;;Tokopedia;
432;https://www.tokopedia.com/frenita-tapis-lampung;Frenita Tapis Lampung_NEW;Fashion Wanita;Kab. Pringsewu;;Tokopedia;
433;https://www.tokopedia.com/nitapis-lampung;Nitapis lampung;Office & Stationery;Bandar Lampung;;Tokopedia;
434;https://www.tokopedia.com/sella-tapis;Sella Tapis;Fashion Wanita;Bandar Lampung;;Tokopedia;
435;https://www.tokopedia.com/seftia-sahwan-tapis-lampung;Seftia sahwan tapis lampung;Office & Stationery;Bandar Lampung;;Tokopedia;
436;https://www.tokopedia.com/samisutra;SAMI SUTRA;Office & Stationery;Bandar Lampung;;Tokopedia;
437;https://www.tokopedia.com/nitapis-lampung;Nitapis lampung;Fashion Wanita;Bandar Lampung;;Tokopedia;
438;https://www.tokopedia.com/lampung-ethnica;Lampung Ethnica_NEW;Fashion Wanita;Kab. Lampung Timur;;Tokopedia;
439;https://www.tokopedia.com/frenita-tapis-lampung;Frenita Tapis Lampung_NEW;Fashion Wanita;Kab. Pringsewu;;Tokopedia;
440;https://www.tokopedia.com/supplier-tapis;Supplier tapis;Fashion Wanita;Kab. Pesawaran;;Tokopedia;
441;https://www.tokopedia.com/samisutra;SAMI SUTRA;Office & Stationery;Bandar Lampung;;Tokopedia;
442;https://www.tokopedia.com/samisutra;SAMI SUTRA;Office & Stationery;Bandar Lampung;;Tokopedia;
443;https://www.tokopedia.com/nitapis-lampung;Nitapis lampung;Office & Stationery;Bandar Lampung;;Tokopedia;
444;https://www.tokopedia.com/sella-tapis;Sella Tapis;Fashion Wanita;Bandar Lampung;;Tokopedia;
445;https://www.tokopedia.com/snailycraft;Maharani tapis lampung;Fashion Wanita;Bandar Lampung;;Tokopedia;
446;https://www.tokopedia.com/samisutra;SAMI SUTRA;Office & Stationery;Bandar Lampung;;Tokopedia;
447;https://www.tokopedia.com/samisutra;SAMI SUTRA;Office & Stationery;Bandar Lampung;;Tokopedia;
448;https://www.tokopedia.com/snailycraft;Maharani tapis lampung;Perlengkapan Pesta;Bandar Lampung;;Tokopedia;
